animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
113,Uchuu no Stellvia,Spring 2003,"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",TV,26,"['Starchild Records', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Xebec'],Original,7.44,7549,18680
114,Sakigake!! Cromartie Koukou,Fall 2003,"['Comedy', 'School', 'Shounen']",TV,26,['TV Tokyo Music'],"['ADV Films', 'Sentai Filmworks', 'Discotek Media']",['Production I.G'],Manga,7.98,36963,93643
115,El Hazard: The Alternative World,Winter 1998,"['Adventure', 'Comedy', 'Fantasy']",TV,13,['Pioneer LDC'],['Geneon Entertainment USA'],['AIC'],Original,6.9,3900,8567
116,El Hazard: The Wanderers,Fall 1995,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",TV,26,"['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']","['Nozomi Entertainment', 'Geneon Entertainment USA']",['AIC'],Original,7.04,5210,12288
117,El Hazard: The Magnificent World,None,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",OVA,7,['Pioneer LDC'],['Geneon Entertainment USA'],['AIC'],Original,7.38,5783,13024
118,El Hazard 2: The Magnificent World,None,"['Adventure', 'Comedy', 'Fantasy']",OVA,4,['Pioneer LDC'],['Geneon Entertainment USA'],['AIC'],Original,6.93,3395,6886
119,Final Approach,Fall 2004,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",TV,13,['Trinet Entertainment'],[],['Zexcs'],Visual novel,6.63,15042,29208
120,Fruits Basket,Summer 2001,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",TV,26,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Funimation'],['Studio Deen'],Manga,7.77,179481,320278
121,Fullmetal Alchemist,Fall 2003,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",TV,51,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']","['Funimation', 'Aniplex of America']",['Bones'],Manga,8.27,537731,878501
122,Full Moon wo Sagashite,Spring 2002,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",TV,52,['Nihon Ad Systems'],['Viz Media'],['Studio Deen'],Manga,8.04,32972,76359
123,Fushigi Yuugi,Spring 1995,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",TV,52,"['TV Tokyo', 'Shogakukan Productions', 'Yomiko Advertising', 'Apollon']","['Media Blasters', 'Discotek Media', 'Geneon Entertainment USA']",['Studio Pierrot'],Manga,7.74,35751,79542
